Title,Author,Rating,Reviews,Price,Publication Year,Genre
The Magnolia Story,Chip Gaines,4.9,7861,5.0,2016,Non Fiction
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6.0,2018,Fiction
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8.0,2019,Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4.0,2019,Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4.0,2018,Fiction
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8.0,2017,Fiction
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6.0,2018,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8.0,2019,Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5.0,2013,Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5.0,2014,Fiction
